ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0001503,ossification, 86/89,429/18614,2.13E-140,6.34E-137,3.35E-137,FGFR3/CHRDL1/CAT/IBSP/TMEM38B/BCL2/SATB2/BMP8B/HNRNPU/SMAD3/SBDS/ACHE/RPL38/SNAI1/CASR/TNC/MEN1/HIF1A/UFL1/CHRDL2/NF1/BMP6/ADAR/RHOA/GLI1/MGP/DHH/STC1/BMP1/SP7/BMPR1B/MAPK11/XYLT1/MAPK14/GIT1/COL1A2/FOXC1/SYNCRIP/ADAMTS12/DHX9/SFRP1/SHH/ZBTB40/GPC3/AXIN2/AMELX/BMP4/DCHS1/COL13A1/BMP7/THBS3/PHEX/FHL2/JUNB/COL1A1/PLXNB1/HSPE1/CCN2/SPP1/CYP24A1/IGFBP3/COMP/WWOX/ALYREF/MMP2/LRP5/FSTL3/SNAI2/CTHRC1/EXT2/GTPBP4/MSX2/ALPL/CTNNB1/SIRT7/BMP3/BMPR2/DDX21/TPM4/NOG/CDH11/MMP14/ROR2/IFITM1/TWIST1/VCAN,86
GO:0001649,osteoblast differentiation, 52/89,250/18614,1.64E-75,2.44E-72,1.29E-72,CAT/IBSP/SATB2/HNRNPU/SMAD3/ACHE/SNAI1/TNC/MEN1/UFL1/NF1/BMP6/ADAR/GLI1/DHH/SP7/BMPR1B/MAPK11/MAPK14/SYNCRIP/DHX9/SFRP1/SHH/AXIN2/AMELX/BMP4/BMP7/FHL2/JUNB/COL1A1/HSPE1/SPP1/CYP24A1/IGFBP3/WWOX/ALYREF/LRP5/SNAI2/CTHRC1/GTPBP4/MSX2/ALPL/CTNNB1/SIRT7/BMP3/BMPR2/DDX21/TPM4/NOG/IFITM1/TWIST1/VCAN,52
GO:0048705,skeletal system morphogenesis, 31/89,229/18614,3.52E-37,3.50E-34,1.85E-34,FGFR3/SATB2/SMAD3/BMP6/MGP/STC1/BMP1/BMPR1B/MAPK14/FOXC1/SFRP1/AXIN2/BMP4/COL13A1/BMP7/THBS3/COL1A1/CCN2/COMP/WWOX/TGFB3/MMP2/LRP5/EXT2/MSX2/ALPL/CTNNB1/BMPR2/NOG/MMP14/TWIST1,31
GO:0051216,cartilage development, 29/89,203/18614,2.01E-35,1.50E-32,7.91E-33,FGFR3/SATB2/BMP8B/SMAD3/SNAI1/HIF1A/CHRDL2/BMP6/MGP/STC1/BMP1/BMPR1B/MAPK14/ADAMTS12/AXIN2/AMELX/BMP4/BMP7/THBS3/COL1A1/CCN2/COMP/SNAI2/EXT2/MSX2/CTNNB1/BMP3/BMPR2/NOG,29
GO:0061448,connective tissue development, 31/89,275/18614,1.29E-34,7.69E-32,4.07E-32,FGFR3/SATB2/BMP8B/SMAD3/SNAI1/CASR/HIF1A/CHRDL2/BMP6/MGP/STC1/BMP1/BMPR1B/MAPK14/ADAMTS12/AXIN2/AMELX/BMP4/BMP7/THBS3/COL1A1/CCN2/COMP/LRP5/SNAI2/EXT2/MSX2/CTNNB1/BMP3/BMPR2/NOG,31
GO:0060348,bone development, 29/89,235/18614,1.71E-33,8.48E-31,4.48E-31,FGFR3/TMEM38B/SBDS/BMP6/RHOA/STC1/BMPR1B/MAPK11/XYLT1/MAPK14/FOXC1/ADAMTS12/AXIN2/BMP4/DCHS1/COL13A1/THBS3/PHEX/COL1A1/PLXNB1/COMP/TGFB3/LRP5/EXT2/MSX2/ALPL/BMPR2/MMP14/TWIST1,29
GO:0031214,biomineral tissue development, 26/89,173/18614,2.67E-32,1.14E-29,6.02E-30,FGFR3/IBSP/TMEM38B/SMAD3/SBDS/HIF1A/BMP6/MGP/SP7/BMPR1B/COL1A2/ZBTB40/GPC3/AXIN2/AMELX/BMP4/BMP7/PHEX/COL1A1/SPP1/COMP/MSX2/ALPL/BMPR2/ROR2/TWIST1,26
GO:0030282,bone mineralization, 21/89,121/18614,1.73E-27,6.46E-25,3.42E-25,FGFR3/IBSP/TMEM38B/SMAD3/SBDS/HIF1A/BMP6/MGP/BMPR1B/COL1A2/ZBTB40/GPC3/AXIN2/BMP4/BMP7/PHEX/COMP/ALPL/BMPR2/ROR2/TWIST1,21
GO:0060349,bone morphogenesis, 19/89,99/18614,8.35E-26,2.76E-23,1.46E-23,FGFR3/BMP6/STC1/BMPR1B/FOXC1/AXIN2/BMP4/COL13A1/THBS3/COL1A1/COMP/TGFB3/LRP5/EXT2/MSX2/ALPL/BMPR2/MMP14/TWIST1,19
GO:0060350,endochondral bone morphogenesis, 15/89,60/18614,2.02E-22,6.02E-20,3.19E-20,FGFR3/BMP6/STC1/BMPR1B/FOXC1/AXIN2/BMP4/COL13A1/THBS3/COL1A1/COMP/EXT2/ALPL/BMPR2/MMP14,15
